sentence,nutrient,pmid,label,label_0_ratio
"conclusion: in recreationally active idna females, intravenous iron therapy corrects iron status and improves both exercise economy and fatigue scores after 4 weeks.",iron,40032294,1,0.0
all patients received 400 mg of oral magnesium supplementation daily.,magnesium,39380547,2,0.0
changes in brain protein expression are linked to magnesium restriction-induced depression-like behavior.,magnesium,21312047,1,0.0
a photoenzymatic pathway for gram-scale synthesis of 25-hydroxyvitamin d(3).,vitamin d,39104184,0,1.0
"in contrast, phosphorous and magnesium increased up to 3rd month of lactation and remained constant there after.",magnesium,9659423,3,0.0
background: iron deficiency in pregnancy is associated with inferior maternal and fetal outcomes.,iron,32252681,3,0.0
fatigue scores improved in iron but not pla after 4 weeks (p<0.05).,iron,40032294,1,0.0
the intravenous group demonstrated a more significant early effect than the oral group in terms of iron metabolism parameter improvement.,iron,39765352,0,0.5
associations of a metal mixture and vitamin d with sleep duration among adolescents and young adults from the 2011-2018 nhanes cycles.,vitamin d,39864260,4,0.0
effect of iron supplementation on fatigue in nonanemic menstruating women with low ferritin: a randomized controlled trial.,iron,22777991,1,0.0
"for iron, calcium, and vitamin d, the average daily intakes were 19.33 +/- 10.22 mg, 1287.7 +/- 676.42 mg, and 3.22 +/- 3.57 mcg respectively.",iron,39203909,2,0.0
every patient was started magnesium sulphate therapy for control of spasms after sending baseline investigations.,magnesium,20524490,1,0.0
"as a hypochromic microcytic anemia that is commonly associated with symptoms such as fatigue and pallor when identified in adulthood, beta-thalassemia may be commonly underdiagnosed or misdiagnosed as iron deficiency anemia.",iron,38872652,1,0.0
"inadequate magnesium intake during pregnancy has been linked to complications like gestational diabetes, preeclampsia, preterm birth, and low birth weight.",magnesium,39479677,3,0.0
"as previously reported, bmd loss at the hip was reduced by vitamin d 1000 iu/d only, and there was no significant treatment effect of either dose at the lumbar spine.",vitamin d,29665087,2,0.0
[iron therapy and hemoglobin regeneration in pregnancy anemias and postpartum anemias (author's transl)].,iron,605646,3,0.0
"at follow-up in 3 and 12 months, the patient reported complete resolution of daytime fatigue, corresponding to an increase in his vitamin d levels.",vitamin d,26543719,1,0.0
aim: to investigate whether three-month oral vitamin d supplementation (800 iu in drops) reduces the risk of influenza infection in elderly nursing home residents vaccinated against influenza.,vitamin d,34730890,4,0.0
experimental and numerical analysis of thermal fatigue of grey cast iron ingot mould.,iron,39685171,1,0.0
"conclusion: in conclusion, our findings do not support the relationship between depression, vitamin d levels and fok 1 polymorphism of vitamin d receptor.",vitamin d,28636576,1,0.0
"intravenous drug treatment agents including intravenous fluids, prochlorperazine, diphenhydramine, metoclopramide, dexamethasone, magnesium, valproate and propofol, and dihydroergotamine are reviewed in this paper.",magnesium,32638172,3,0.0
"4) list the appropriate laboratory and imaging studies to differentiate eclampsia from other diagnoses (complete blood count, comprehensive metabolic panel, magnesium level, pregnancy testing, urinalysis, and computed tomography [ct] scan of the head).",magnesium,37465222,3,0.0
"as a consequence, the use of screening tests for anemia has become a less efficient means of detecting iron deficiency in some populations.",iron,9563847,0,1.0
"anaemia, iron, zinc, and vitamin d deficiencies were the more common forms of mnds, the prevalence varied by age, region, and socioeconomic group.",vitamin d,38575928,0,1.0
in group b combination of sodium feredetate (containing 66 mg of elemental iron) along with vitamin b12 (15 microg) and folic acid (1.5 mg) was administered twice a day.,iron,17915799,2,0.0
"however, a high dose of vitamin d at 2000-3000 iu daily is needed for those with vitamin d deficiency (vdd).",vitamin d,38135475,2,0.0
[level of magnesium in blood serum in children from the province of rzesz'ow].,magnesium,8266691,4,0.0
"compared with a placebo, iv magnesium reduced hospital admission and improved lung function.",magnesium,26303207,0,1.0
"esr, fibrinogen, serum calcium, magnesium, alkaline phosphatase, protein electrophoresis, 25-oh vitamin d (ria) and urinary hydroxyproline were obtained in all patients.",vitamin d,18677908,0,1.0
"conclusions: vitamin d is beneficial in improving fever and cough resolution, and improving nutritional status in children with pulmonary tb and vitamin d insufficiency.",vitamin d,35198149,4,0.0
"data on hypothyroidism among adult females are essential to understand the underactive status of the thyroid gland among the female population and its correlated effects on a deficiency of vitamin d and iron, as effective prevention of osteoporotic changes and iron deficiency anemia is possible.",iron,37153231,4,0.0
(3) results: the serum 25(oh) vitamin d evaluations revealed higher levels of 25(oh) vitamin d in women with treatment compared with those without.,vitamin d,37626598,0,1.0
association of serum 25-hydroxyvitamin d with urinary incontinence in elderly men: evidence based on nhanes 2007-2014.,vitamin d,37745700,4,0.0
background: this study was designed to determine the effects of two dosages of vitamin d supplementation on inflammatory biomarkers in patients with ulcerative colitis (uc).,vitamin d,32220372,0,1.0
"a magnesium deficit in the elderly can occur due to inadequate nutrient intakes, multiple drug use, or altered gastrointestinal function.",magnesium,1591145,3,0.0
"fatigue was also inversely associated with calcium, iron, and zinc intakes.",iron,35304769,1,0.0
all women received calcium 750 mg and vitamin d 400 u daily.,vitamin d,35079673,2,0.0
efficacy of iron supplementation on fatigue and physical capacity in non-anaemic iron-deficient adults: a systematic review of randomised controlled trials.,iron,29626044,1,0.0
"first, naoh addition yielded calcium and magnesium precipitation, preventing scaling in ed.",magnesium,30014981,0,1.0
case histories are presented showing rapid recovery (less than 7 days) from major depression using 125-300 mg of magnesium (as glycinate and taurinate) with each meal and at bedtime.,magnesium,16542786,1,0.0
exercise without weight loss prevents seasonal decline in vitamin d metabolites: the vitadex randomized controlled trial.,vitamin d,40349161,4,0.0
"both anxiety and depression scores showed significant, negative correlations with serum calcium and magnesium concentrations (r=-0.336, p<0.001 and r=-0.258, p<0.001, respectively).",magnesium,33694151,1,0.0
creatine phosphokinase and magnesium tests showed significant differences between the positive and negative sars-cov-2 rnaaemia groups.,magnesium,33969515,0,1.0
"however, more detailed studies with considering the complex involvement of different environmental factors including sunlight exposure, diet, depression and vitamin d are needed to determine the outcome of ms.",iron,29526408,1,0.0
"dfo mitigated iron overload condition and brain abnormalities, partially ameliorating cognitive decline.",iron,39954841,1,0.0
"conclusion: based on the results of this study, vitamin d cannot be used as a biomarker for depression in women aged 18 to 24 years.",vitamin d,22855566,1,0.0
group m received a bolus of 5 mg/kg magnesium sulfate plus (250 cc) normal saline and group c received (250 cc) normal saline in the same condition.,magnesium,31143431,2,0.0
"calcium, magnesium and phosphorus concentrations were all high in the first day of lactation, but declined until the third day after parturition.",magnesium,7093815,3,0.0
"conclusions: our findings show that hip at each of the concentrations tested increased hb; moreover, when present at higher concentrations in the diet, the hip is capable of restoring hemoglobin to resolve iron deficiency anemia.",iron,39683423,0,1.0
"aims: in this study, the current coverage, status of vitamin d supplement taking, and program efficacy have been evaluated by the office of nutrition department society in iran since 2014.",vitamin d,36963898,0,1.0
association between serum magnesium and fasting glucose levels was evaluated using multiple regression analysis.,magnesium,21046278,0,1.0
[study of dental caries in children drinking water with a high content of magnesium].,magnesium,1058058,4,0.0
"conclusion: factors related to high insomnia severity and poor sleep quality in type 2 diabetes patients with insomnia included fasting blood glucose, blood magnesium, blood phosphorus, depression and fatigue.",magnesium,40233517,1,0.0
"he received 50 000 iu per week of vitamin d for 3 mo, and 25(oh)d increased to 36.6 ng/ml.",vitamin d,33744642,2,0.0
"conclusion: conclusions: supplementation of combination therapy with magnesium and b6 helped to improve myocardial electrophysiology and cardiac output, as well as to normalize the serum magnesium in children with secondary cardiomyopathy.",magnesium,32386366,4,0.0
conclusions: vitamin d-3 supplementation during pregnancy and lactation reduced selected eed and systemic inflammation biomarkers among women living with hiv.,vitamin d,39278411,3,0.0
bsmi polymorphism in the vitamin d receptor gene is associated with 25-hydroxy vitamin d levels in individuals with cognitive decline.,vitamin d,30570020,1,0.0
general significance: we propose that magnesium plays a role in early pregnancy as well as in pregnancy success independently from anti-mullerian hormone.,magnesium,26675754,3,0.0
"25(oh)d is independently and inversely associated with il-6 and positively with sil6r, suggesting a potential anti-inflammatory role for vitamin d in older individuals.",vitamin d,25086618,0,1.0
"in this study, we aimed to determine the most effective dose and duration of iron supplementation for improving haemoglobin (hb) levels in children and adolescents (</=19 years) with ida.",iron,39951396,4,0.0
"case report: a 40-year-old female with past medical history of iron-deficiency anemia, asthma, and von willebrand disease and allergies to both oral and intravenous (iv) iron presented to the ed with one day of acute and severe abdominal pain associated with nausea and vomiting.",iron,39903611,4,0.0
"meanwhile, preclinical studies support associations between magnesium status, sleep quality, and symptoms of anxiety.",magnesium,38817505,0,0.3333333333333333
"epidemiological studies have shown significant associations between vitamin d deficiency and an increased risk of various neuropsychiatric and neurodegenerative disorders, such as schizophrenia, depression, alzheimer's disease and cognitive impairment.",vitamin d,28915381,1,0.0
"analyses were adjusted for age, body mass index, race/ethnicity, gender, income-to-poverty ratio, education, smoking status, and mean intakes of energy, calcium, and iron.",iron,26491124,3,0.0
"conclusions: oral supplementation with high-dose vitamin d3 at 10,000 iu daily significantly improved serum 25-hydroxy-vitamin d levels.",vitamin d,27975236,2,0.0
in group a combination of sodium feredetate (containing 33 mg of elemental iron) along with vitamin b12 (15 microg) and folic acid (1.5 mg) was administered twice a day.,iron,17915799,2,0.0
a higher dietary vitamin d intake was associated with modest favorable changes in cognitive function and a reduced cognitive decline over a 2-year period.,vitamin d,40325312,1,0.0
"after baseline assessment (week one) of body mass index (bmi), diet, blood and urine biochemical variables, and sleep quality, one group was given a 320 mg magnesium/day supplement as magnesium citrate and the other group a sodium citrate placebo for seven weeks.",magnesium,21199787,2,0.0
"a case-control study was performed, where the sera of 182 thin children (cases) and 393 normal bmi children (controls) were tested for levels of iron, ferritin, vitamin d, zinc, selenium, and copper.",iron,34528520,4,0.0
"further study is required to determine casual linkages between anxiety, stress, mood and vitamin d in children with 22q11.2ds.",vitamin d,27827293,4,0.0
"conclusion: the r(2) relaxation rate is well described by a constant plus a term linear in b(0), with both iron and lipid content contributing to the slope.",iron,39686865,0,1.0
calcium bisdiocytl sulfosuccinate did not improve the quality of colon cleansing but appeared to decrease the incidence of abdominal cramping in patients receiving magnesium citrate and bisacodyl.,magnesium,401589,1,0.0
"compared to consuming a 100 mg iron dose in the morning with coffee or breakfast, consuming it with orange juice alone results in a ~ 4-fold increase in iron absorption, and provides ~20 more mg of absorbed iron per dose.",iron,37357807,2,0.0
background: pregnant women constitute a high risk group for iron deficiency.,iron,24800338,3,0.0
[behavior of serum magnesium level in school children].,magnesium,5802245,4,0.0
"conclusions: the study showed a very high frequency of vitamin d deficiency in subjects with depression in peshawar, pakistan.",vitamin d,35982462,1,0.0
"background and aims: vitamin d deficiency is a common cause of secondary hyperparathyroidism, particularly in elderly people.",vitamin d,39069469,4,0.0
"assessment of the prevalence of iron deficiency anemia, by serum ferritin, in pregnant women of southern iran.",iron,12118195,3,0.0
