sentence,nutrient,pmid,label
"a total of twenty male and female volunteers were randomised in a double-blind design to receive either gaa (2.4 g/d) or gaa with methyl donors (2.4 g/d of gaa and 1.6 g/d of betaine hcl, 5 mug/d of vitamin b12, 10 mg/d of vitamin b6 and 600 mug/d of folic acid) by oral administration for 8 weeks.",vitamin b12,23351309,4
"a 46-year-old male presented with anemia, vitamin b12 deficiency and a positive fecal occult blood test.",vitamin b12,31166111,4
"a libs spectrum consists of dominant lines of fifteen elements including calcium, magnesium, sodium, potassium, titanium, iron, chloride, sulphur, copper, chromium, zinc, nitrogen, phosphor, and oxygen.",zinc,29759248,4
oral symptoms of the majority of patients responded to antifungals and vitamin b12 replacement.,vitamin b12,27234214,0
"in addition, a significant age-effect modification was observed for zinc (pinteraction=0.07) associations were stronger in women aged over 40 years compared to younger women.",zinc,40081383,0
"among several nanoparticles (nps), inorganic nps, such as zinc and silicon oxides (zno and sio(2)), are mainly chosen as drug nanocarriers, as both present great adsorption properties and biocompatibility.",zinc,39606560,3
"an iv dose of bcvs consisting of a 5 ml solution containing vitamin b1 (250 mg), vitamin b6 (250 mg) and vitamin b12 (1.5 mg) was administered at the end of hemodialysis.",vitamin b12,17115295,2
"analyses of neuronal cultures further revealed that neurons, not astrocytes, respond to zinc to enhance protein synthesis.",zinc,40300729,0
it focuses on the impact of vitamin b12 deficiency across different demographics.,vitamin b12,38794680,0
the interaction test results indicated that the dietary consumption of vitamin b6 did not significantly interact with any of the stratification factors (all p for interaction > 0.05).,vitamin b6,39508477,0
"conclusion: vitamin b12 deficiency in lebanon is notably high and is linked to an increased risk of developing depression, generalized anxiety disorder, insomnia, and paresthesia.",vitamin b12,38630748,1
"a great deal of literature entails that supplementation of zinc can alleviate oxidative stress-related clinical complications, including male infertility.",zinc,39653981,4
group (a) included 24 infertile patients who received 2660 mg d-aspartic acid plus 200 mg of ubiquinol plus 10 mg zinc once daily for 3 months.,zinc,40248985,2
background: dose regimens of pyridoxine (vitamin b6) for treatment of infantile spasms have varied from 200 mg/d to 300 mg/kg/d.,vitamin b6,26310861,2
"amongst uk females intakes of 9 micronutrients (riboflavin, vitamin b6, b12, folic acid, calcium, iron, magnesium, potassium, and iodine) were significantly lower than males aged 20-59 years (p < 0.001) expressed as a percentage of the rni.",vitamin b6,30073167,4
"[copper, iron, magnesium and zinc contents in hair of peasants in high and low incidence areas of esophageal cancer].",zinc,7173022,3
effects of nursing program in preventing incontinence-associated dermatitis by applying zinc oxide and petroleum jelly skin protection products among older patients in semi-intensive medical care units: a pilot study.,zinc,39081404,1
"patients were randomly assigned to one of two treatment regimens: 1) daily renal multivitamin containing folate (fa), vitamin b6 and b12 (5 mg, 10 mg and 0.4 mg respectively) (n = 27); and 2) supraphysiological daily doses (15 mg, 100 mg and 1 mg) (n = 33).",vitamin b6,16053010,2
"several bioactive compounds identified as potentially beneficial in combatting depression include calcium, casein, alpha-lactalbumin, tryptophan (trp), vitamin b6 and b12, magnesium, flavonoids (especially hesperidin), carotenoids, ergothioneine, fiber, and probiotics.",vitamin b6,38931173,1
all 48 subjects also received 50 mg/day of oral vitamin b6 and 1 mg/day of oral vitamin b12.,vitamin b6,12427152,2
"during the 12-month period the children were intensively hydrated and received a low-oxalate diet and supplemental therapy with vitamin b6, magnesium, citrates and lactic acid bacteria preparations.",vitamin b6,14593960,4
"also, formononetin targeted insulin receptor and zinc-alpha-2-glycoprotein which play important roles in metabolisms of tissue cells of prostate cancer.",zinc,38874510,3
"aims/introduction:  to estimate nutritional risk factors for osteoporosis in patients with type 2 diabetes, bone mineral density, homocysteine level, and intakes and levels of hcy-related vitamins including folate, vitamin b6 and vitamin b12 were analyzed in a cross-sectional study.",vitamin b6,24843489,3
"after adjusting for initial age and sex, intake of riboflavin, zinc, calcium, magnesium, and phosphorus declined steeply (8% to 16% dri annually) across the 3 years.",zinc,17467383,4
"alterations in plasma essential trace elements selenium, manganese, zinc, copper, and iron concentrations and the possible role of these elements on oxidative status in patients with childhood asthma.",zinc,14742898,3
"in the umbilical cord blood, the mean serum calcium, magnesium, zinc and iron were 8.5, 1.9, 84.1, and 89.8 microg/dl, respectively.",zinc,27147914,0
"results: a significant inverse relationship was observed between depression and higher intake of selenium, zinc, vitamins b6 and b12 for the total sample.",zinc,34695501,1
"background: sodium cantharidinate/vitamin b6 (sc/vb6) injection, a famous insect-derived traditional chinese medicine preparation, has been widely applied as a promising adjunctive drug for hepatocellular carcinoma (hcc).",vitamin b6,32846865,3
"in this paper, depression and eating behavior, diet quality, folic acid, vitamin b12, vitamin b6, vitamin d, omega-3 fatty acids, magnesium, selenium, zinc and copper, prebiotics and probiotics are discussed.",vitamin b6,36565729,1
background: vitamin b6 is involved in many biochemical reactions and might play a role in carcinogenesis.,vitamin b6,28376200,0
"especially low vitamin b12 or folate and low intake of omega-3-fatty acids, but also low vitamin d may associate with increased risk of depression.",vitamin b12,24881142,1
"between weeks 10 and 18 the patients received 10 mg folic acid, 100 mg vitamin b6 once a week, and 1000 microg vitamin b12 bimonthly iv.",vitamin b6,15600263,2
"clinical evaluation of sequential transdermal delivery of vitamin b6, compound glycyrrhizin, metronidazole, and hyaluronic acid using needle-free liquid jet in facial seborrheic dermatitis.",vitamin b6,33195305,1
"on receiver operating characteristic analysis, the cut-off for serum zinc for prediction of anemia was 71.5 mug/dl.",zinc,29804328,0
association between vitamin b6 and the risk of colorectal cancer: a meta-analysis of observational studies.,vitamin b6,36961108,3
"a history of premenstrual syndrome and patients with hyperemesis gravidarum, obstructive sleep apnea syndrome, vitamin b12 deficiency, and higher tsh levels in the laboratory were found to be associated with sleep disorders.",vitamin b12,34311492,3
"mthfr c677t and a1298c polymorphisms, serum homocysteine, folate and vitamin b12 levels as well as seizure frequency and score based on the hamilton depression scale (hamd) were evaluated at baseline and after six months of follow-up.",vitamin b12,35904038,1
"serum concentrations of vitamin b12 of <150 pmol/l and folate of <10 nmol/l were classified as deficient, and folate concentrations of >45.3 nmol/l were classified as hfc.",vitamin b12,37220857,0
"adolescents who consumed fish had higher intake of protein, water, b vitamins, magnesium, selenium, and zinc but consumed more calories, fat, saturated fat, and sodium.",zinc,23858520,4
"in the present study it has been shown for the first time that maternal methyl-enriched diet (choline, betaine, folic acid, vitamin b12, l-methionine, zinc) during perinatal period reduces the expression of genetic absence epilepsy and comorbid depression in adult offspring of wag/rij rats.",vitamin b12,33083882,1
"patients are randomized to a multivitamin that includes either a high-dose or low-dose of folic acid (5 or 0 mg), vitamin b6 (50 or 1.4 mg), and vitamin b12 (1000 or 2 microg).",vitamin b12,16923411,2
randomized trials are now justified and needed in order to examine whether treatment with vitamin b6 may improve symptoms of depression.,vitamin b6,15479988,1
"anemia in hypothyroidism might result from bone marrow depression, decreased erythropoietin production, comorbid diseases, or concomitant iron, vitamin b12, or folate deficiency.",vitamin b12,28400547,1
"b vitamins, such as folate, vitamin b6, and vitamin b12, play an important role as coenzymes in one-carbon metabolism and may affect colorectal cancer risk.",vitamin b6,19661077,3
"in the animal trial, 90 newly weaned piglets were divided into three groups, receiving either the negative control (nc; 25.4% sbm), positive control (pc; 25.4% sbm supplemented with 3000 mg/kg zinc oxide), or b4 (b4; 19% fsbm, 6.4% sbm).",zinc,40307957,2
"(b) how has the longterm safety of folic acid to be judged, especially regarding the risk of colorectal cancer, autism, asthma, impaired immune defence, masking vitamin b12 deficiency and interactions with the methotrexate metabolism?",vitamin b12,26731845,3
"fatigue was also inversely associated with calcium, iron, and zinc intakes.",zinc,35304769,1
"a case-control study was performed, where the sera of 182 thin children (cases) and 393 normal bmi children (controls) were tested for levels of iron, ferritin, vitamin d, zinc, selenium, and copper.",zinc,34528520,4
"moreover, vitamin b12, phenylalanine, glutamate, ornithine, citrulline, and glycine plasma levels were significantly reduced in the depression group after paroxetine treatment.",vitamin b12,37038696,1
"nutritional imbalances such as inadequate intake of protein, fish (omega3 polyunsaturated fatty acids), vitamins (folate and vitamin d), and minerals (iron and zinc) increases the risk of depression.",zinc,36992617,1
"background: epidemiological studies evaluating the association of vitamin b6, vitamin b12 and methionine with breast cancer risk have produced inconsistent results.",vitamin b6,23907430,3
[antidepressive effect of pyridoxine (vitamin b6) in neuroleptic-treated schizophrenic patients with co-morbid minor depression--preliminary open-label trial].,vitamin b6,11419053,3
background and aims: subclinical vitamin b12 deficiency is a very common entity in the indian subcontinent with devastating clinical and socio-economic consequences.,vitamin b12,33209833,0
"we found that depletion of intracytoplasmic zinc ions due to loss of zip10 disrupts the change in nuclear-to-cytoplasmic localization of gli1, which is critical for pgr signaling in the decidualizing stromal cells in vitro not only in mice but also in humans.",zinc,39967682,0
"the study group received a daily oral dose of 81 mg of lda, while the control group received placebo (oral vitamin b12 tablets).",vitamin b12,30807853,2
"no difference was observed in energy intake, but blw infants appeared to consume more total (48% vs 42% energy, p<0.001) and saturated (22% vs 18% energy, p<0.001) fat, and less iron (1.6 vs 3.6 mg, p<0.001), zinc (3.0 vs 3.7 mg, p=0.001) and vitamin b12 (0.2 vs 0.5 mug, p<0.001) than tsf infants.",zinc,27154478,2
"a statistically significant improvement was observed for body weight (difference between groups 2.2 kg, p=0.03), and homocysteine, vitamin b1, tdf, vitamin b6, vitamin b12, folate and vitamin d in the supplement group compared to the placebo group.",vitamin b6,11960300,4
blood level of vitamin b6 was measured to investigate a potential deficiency.,vitamin b6,31796339,0
serum iron levels were inversely correlated with blood lead and serum copper concentrations but were not correlated with serum zinc or cadmium levels.,zinc,16254260,0
also zinc deficiency was more prevalent in females than in males.,zinc,21962832,4
"a total of three-hundred-eighty-four, one-day-old meat-type male pekin ducks were randomly allocated to six treatments, i.e., dietary cyanocobalamin (vitamin b12) concentrations of 0.00, 0.02, 0.04, 0.06, 0.08 and 1.00 mg/kg, respectively in their feed.",vitamin b12,31480210,4
(3) serum zinc and iron levels in patients who either had a miscarriage or a preterm delivery were significantly lower than in the control group (p < 0.05).,zinc,26744858,0
acquired zinc deficiency mimicking infantile psoriasis in a premature infant with a developmental sex disorder.,zinc,39015967,4
"additionally, we characterized longitudinal changes in hm concentrations of zinc and other minerals (calcium, copper, iodine, iron, magnesium, manganese, phosphorus, potassium, selenium, and sodium).",zinc,36704795,0
[status epilepticus due to low vitamin b6 levels refractory to convencional antiepileptic treatment during pregnancy].,vitamin b6,17678610,3
"nevertheless, few studies have explored so far the relevance of topical products containing vitamin b12 as a treatment option for atopic dermatitis, and the association between blood levels of vitamin b12 and the severity of atopic dermatitis has never been investigated.",vitamin b12,33342334,1
"daily niacin intake did not differ statistically across groups (group 1 = 18.0 +/- 11.4 mg/day; group 2 = 18.9 +/- 8.0 mg/day; group 3 = 14.2 +/- 5.2 mg/day), nor did intake of tryptophan, vitamin b6, and zinc.",zinc,17460498,2
"in this paper, depression and eating behavior, diet quality, folic acid, vitamin b12, vitamin b6, vitamin d, omega-3 fatty acids, magnesium, selenium, zinc and copper, prebiotics and probiotics are discussed.",vitamin b12,36565729,1
our findings suggest that dietary intake of vitamin b6 and b12 might have an effect on brain structure.,vitamin b6,34073949,0
chemoprevention of doxorubicin-induced alopecia in mice by dietary administration of l-cystine and vitamin b6.,vitamin b6,22699427,1
"an odds ratio (or) of 0.917 for depression associated with a one standard deviation increase in serum zinc levels (or = 0.968; 95% ci = 0.953-0.984, p = 1.19 x 10-4, random effects model inverse variance weighted (ivw)); (or = 0.928; 95% ci = 0.634-1.358, p = 0.766, mr egger).",zinc,38863045,4
"being married, engaging in regular exercise, and increased vitamin b6 were inversely related to anxiety and depression.",vitamin b6,36914586,1
"energy-adjusted intakes of folate, vitamin b6, and vitamin b12 were derived from a validated food frequency questionnaire (ffq).",vitamin b6,19389261,0
"objectives: based on the hypothesis of a role for folate and vitamin b12 in major depressive disorders (mdd), we aimed at validating the association between folate pathway biomarkers and depression or antidepressant response in clinical trial populations.",vitamin b12,32787676,1
"in logistic regression analyses, no significant associations were observed between the incidence of depression in the first trimester and elevated hcy and deficiencies of serum folate, folate intake, vitamin b6 intake and vitamin b12 intake.",vitamin b12,21248434,1
"logistic regression analysis revealed significant involvement of zinc and iron intake, and that poms fatigue and anger scores affected the differential threshold for sourness.",zinc,23327972,1
"patients were divided into two groups: 26 patients (group a) who received 25 mg of vitamin b6 daily and one monthly injection of 200 microg vitamin b12, and 24 patients (group b) who received 100 mg of vitamin b6 daily and one monthly injection of 1,000 microg vitamin b12.",vitamin b6,15115259,2
"all patients with known coronary artery disease should take prescription strength (1 mg/d) folic acid, vitamin b12 (400 microg/d), and vitamin b6 (10 mg/d), which have few if any known adverse effects.",vitamin b6,12540303,3
serum folate and vitamin b12 levels were estimated by competitive chemiluminescent enzyme immunoassay method.,vitamin b12,28164642,0
the increase of copper level was found to be much higher than that of zinc.,zinc,17417973,0
this study does not support protective associations for folate and vitamin b6.,vitamin b6,24377513,0
"age, ggt, gender, mthfr and vitamin b6 explained 16.8% of the variation in hcy (p < 0.01).",vitamin b6,23548740,4
"conclusions: this study provides some evidence of decreased depression risk among women with higher intakes of vitamin b6 from food, which was dependent on total energy intake, and among men with higher intakes of b12 from food, independently of energy intake.",vitamin b6,26648330,1
"fucoidan administered in doses above 30 mg decreased the absorption of iron, cobalt, manganese and zinc in normal rats, and the absorption of iron and cobalt in iron-deficient rats.",zinc,7227667,2
"consumption was also associated with a higher intake of energy and all nutrients except vitamin b6, retinol, ??, and zinc in males and vitamin b6 in females.",vitamin b6,39683580,4
"although childhood-onset ckd was more common in patients with missense variants in the dna-binding/zinc-finger domain, other patients may develop ckd and kidney failure later in life.",zinc,39698353,3
"in this paper, depression and eating behavior, diet quality, folic acid, vitamin b12, vitamin b6, vitamin d, omega-3 fatty acids, magnesium, selenium, zinc and copper, prebiotics and probiotics are discussed.",zinc,36565729,1
"as her serum vitamin b6 level was remarkably low, she was diagnosed with convulsive seizures due to vitamin b6 deficiency associated with isoniazid treatment.",vitamin b6,24492693,3
"decreased serum zinc levels (or 1.2, 95% ci 1.2-3.4) were linked to an increased probability of delivering a baby who is small for their gestational age.",zinc,38892565,0
"almost all patients were normal weight, overweight, or obese, and few had concomitant vitamin b12 or folate deficiency.",vitamin b12,27228202,4
"a 70-year-old jehovah's witness was treated with iron carboxymaltose intravenously, recombinant human erythropoietin alpha subcutaneously, and vitamin b12 and folate orally for 9 weeks to raise hemoglobin (hb) from 10.8 to 17.0 g/dl before explantation of an infected hip joint prosthesis.",vitamin b12,32784312,4
"conclusions: total vitamin b6 is abnormally high in autism, consistent with previous reports of an impaired pyridoxal kinase for the conversion of pyridoxine and pyridoxal to plp.",vitamin b6,16494569,0
"using a representative karst depression in guangxi as a case study, we measured soil concentrations of arsenic (as), cadmium (cd), lead (pb), and zinc (zn).",zinc,40295664,1
[serious neurological compromise due to vitamin b12 deficiency in infants of vegan and vegetarian mothers].,vitamin b12,31339288,3
"group 1 served as control; group 2 received ps (200 mg/kg), and groups 3 and 4 received intraperitoneally zinc (60 mg/kg b.w) and copper (33 mg/kg b.w), respectively.",zinc,38918930,2
"the rtrs received 2.4 mg/day of fa, 50.0 mg/day of vitamin b6, and 0.4 mg/day of vitamin b12, while the hd patients received 15 mg/day of fa or an equimolar amount (17 mg/day) of the reduced folate, mthf, in addition to 50.0 mg/day of vitamin b6 and 1.0 mg/day of vitamin b12.",vitamin b12,11169020,2
a noteworthy correlation emerged between serum zinc levels and reduced risk of depression.,zinc,38863045,1
all 50 subjects also received 50 mg/day of oral vitamin b6 and 1.0 mg/day of oral vitamin b12.,vitamin b6,11169020,2
"54.5 foods, p < .001) as compared to typical controls, children with autism had a higher average intake of magnesium, and lower average intake of protein, calcium, vitamin b12, and vitamin d.",vitamin b12,21556968,4
"antioxidants (vitamin a, c, e, b6, b12, total folate, zinc, magnesium, selenium) intake does not consistently relate to low muscle mass across age and sex.",zinc,38115288,4
"results: there were 1454 participants of which 33.5% of the patients were deficient, 27.9% were borderline deficient, while 38.7% had adequate vitamin b12 levels.",vitamin b12,36974860,0
can vitamin b6 help to prevent postpartum depression?,vitamin b6,34912512,1
"in addition to standard supplementation (350 mg/day ferrous iron, 5 mg folic acid), participants in the intervention group were given 5 mug of vitamin b12 each morning for 100 days.",vitamin b12,32302504,2
"a hospital based study to access the usefulness of using the combination regime of the ferric carboxy maltose, vitamin b12 and folic acid as a treatment of severe anemia among pregnant women in a rural tribal community of south gujarat.",vitamin b12,36438538,3
[value of behavior scales and urinary homovanillic acid determinations in monitoring the combined treatment with vitamin b6 and magnesium of children displaying autistic behavior].,vitamin b6,6888687,4
"our secondary outcomes showed that dietary supplements used during active infection such as vitamin c, d, lactoferrin and zinc might have a preventive value on postcovid hair loss, while azithromycin and ivermectin could have a negative long term effect on telogen effluvium.",zinc,38844670,1
"adolescents with higher %tei from upfs (quartile four) had highest total energy, total fat and saturated fat; and lowest protein, fibre, iron, calcium and zinc intake.",zinc,40110341,4
"a cohort of 30 patients with elevated hcy levels (>8.2 micromol/liter), were given folate, vitamin b12 and b6 as supplements for 6 weeks.",vitamin b12,21381582,3
